FID,XLL,XUL,XUR,XLR,YLL,YUL,YUR,YLR
159,8.3333753,8.1667086,8.1667086,8.3333753,25.1666898,25.1666898,25.3333565,25.3333565
160,8.500042,8.3333753,8.3333753,8.500042,25.1666898,25.1666898,25.3333565,25.3333565
161,8.6667087,8.500042,8.500042,8.6667087,25.1666898,25.1666898,25.3333565,25.3333565
162,8.8333754,8.6667087,8.6667087,8.8333754,25.1666898,25.1666898,25.3333565,25.3333565
163,9.0000421,8.8333754,8.8333754,9.0000421,25.1666898,25.1666898,25.3333565,25.3333565
164,9.1667088,9.0000421,9.0000421,9.1667088,25.1666898,25.1666898,25.3333565,25.3333565
165,9.3333755,9.1667088,9.1667088,9.3333755,25.1666898,25.1666898,25.3333565,25.3333565
166,9.5000422,9.3333755,9.3333755,9.5000422,25.1666898,25.1666898,25.3333565,25.3333565
167,9.6667089,9.5000422,9.5000422,9.6667089,25.1666898,25.1666898,25.3333565,25.3333565
168,9.8333756,9.6667089,9.6667089,9.8333756,25.1666898,25.1666898,25.3333565,25.3333565
169,10.0000423,9.8333756,9.8333756,10.0000423,25.1666898,25.1666898,25.3333565,25.3333565
170,10.166709,10.0000423,10.0000423,10.166709,25.1666898,25.1666898,25.3333565,25.3333565
171,10.3333757,10.166709,10.166709,10.3333757,25.1666898,25.1666898,25.3333565,25.3333565
172,10.5000424,10.3333757,10.3333757,10.5000424,25.1666898,25.1666898,25.3333565,25.3333565
173,10.6667091,10.5000424,10.5000424,10.6667091,25.1666898,25.1666898,25.3333565,25.3333565
174,10.8333758,10.6667091,10.6667091,10.8333758,25.1666898,25.1666898,25.3333565,25.3333565
175,11.0000425,10.8333758,10.8333758,11.0000425,25.1666898,25.1666898,25.3333565,25.3333565
176,11.1667092,11.0000425,11.0000425,11.1667092,25.1666898,25.1666898,25.3333565,25.3333565
177,11.3333759,11.1667092,11.1667092,11.3333759,25.1666898,25.1666898,25.3333565,25.3333565
178,11.5000426,11.3333759,11.3333759,11.5000426,25.1666898,25.1666898,25.3333565,25.3333565
179,11.6667093,11.5000426,11.5000426,11.6667093,25.1666898,25.1666898,25.3333565,25.3333565
180,11.833376,11.6667093,11.6667093,11.833376,25.1666898,25.1666898,25.3333565,25.3333565
181,12.0000427,11.833376,11.833376,12.0000427,25.1666898,25.1666898,25.3333565,25.3333565
182,12.1667094,12.0000427,12.0000427,12.1667094,25.1666898,25.1666898,25.3333565,25.3333565
